name,type
SOURCE_ID,str
FRAME_NUM,Int64
SCAN_ID,str
SRC,Int64
RA,float64
DEC,float64
SIGRA,float64
SIGDEC,float64
SIGRADEC,float64
GLON,float64
GLAT,float64
ELON,float64
ELAT,float64
W1X,float64
W1Y,float64
W2X,float64
W2Y,float64
W1SKY,float64
W1SIGSK,float64
W1CONF,float64
W2SKY,float64
W2SIGSK,float64
W2CONF,float64
W1FITR,float64
W2FITR,float64
W1SNR,float64
W2SNR,float64
W1FLUX,float64
W1SIGFLUX,float64
W2FLUX,float64
W2SIGFLUX,float64
W1MPRO,float64
W1SIGMPRO,float64
W1RCHI2,float64
W2MPRO,float64
W2SIGMPRO,float64
W2RCHI2,float64
RCHI2,float64
NB,Int64
NA,Int64
W1FRTR,str
W2FRTR,str
W1SAT,float64
W2SAT,float64
SATNUM,str
W1MAG,float64
W1SIGM,float64
W1FLG,Int64
W1MCOR,float64
W2MAG,float64
W2SIGM,float64
W2FLG,Int64
W2MCOR,float64
W1MAG_1,float64
W1SIGM_1,float64
W1FLG_1,Int64
W2MAG_1,float64
W2SIGM_1,float64
W2FLG_1,Int64
W1MAG_2,float64
W1SIGM_2,float64
W1FLG_2,Int64
W2MAG_2,float64
W2SIGM_2,float64
W2FLG_2,Int64
W1MAG_3,float64
W1SIGM_3,float64
W1FLG_3,Int64
W2MAG_3,float64
W2SIGM_3,float64
W2FLG_3,Int64
W1MAG_4,float64
W1SIGM_4,float64
W1FLG_4,Int64
W2MAG_4,float64
W2SIGM_4,float64
W2FLG_4,Int64
W1MAG_5,float64
W1SIGM_5,float64
W1FLG_5,Int64
W2MAG_5,float64
W2SIGM_5,float64
W2FLG_5,Int64
W1MAG_6,float64
W1SIGM_6,float64
W1FLG_6,Int64
W2MAG_6,float64
W2SIGM_6,float64
W2FLG_6,Int64
W1MAG_7,float64
W1SIGM_7,float64
W1FLG_7,Int64
W2MAG_7,float64
W2SIGM_7,float64
W2FLG_7,Int64
W1MAG_8,float64
W1SIGM_8,float64
W1FLG_8,Int64
W2MAG_8,float64
W2SIGM_8,float64
W2FLG_8,Int64
XSCPROX,float64
W1CC_MAP,Int64
W1CC_MAP_STR,str
W2CC_MAP,Int64
W2CC_MAP_STR,str
CC_FLAGS,str
QUAL_FRAME,Int64
QI_FACT,float64
SAA_SEP,float64
MOON_MASKED,str
DET_BIT,Int64
PH_QUAL,str
SSO_FLG,Int64
TMASS_KEY,Int64
R_2MASS,float64
PA_2MASS,float64
N_2MASS,Int64
J_M_2MASS,float64
J_MSIG_2MASS,float64
H_M_2MASS,float64
H_MSIG_2MASS,float64
K_M_2MASS,float64
K_MSIG_2MASS,float64
ALLWISE_CNTR,Int64
R_ALLWISE,float64
PA_ALLWISE,float64
N_ALLWISE,Int64
W1MPRO_ALLWISE,float64
W1SIGMPRO_ALLWISE,float64
W2MPRO_ALLWISE,float64
W2SIGMPRO_ALLWISE,float64
W3MPRO_ALLWISE,float64
W3SIGMPRO_ALLWISE,float64
W4MPRO_ALLWISE,float64
W4SIGMPRO_ALLWISE,float64
MJD,float64
CNTR,Int64
X,float64
Y,float64
Z,float64
SPT_IND,Int64
HTM20,Int64
