name,type
objID,int64
uniquePspsP2id,int64
detectID,int64
ippObjID,int64
ippDetectID,int64
filterID,int16
surveyID,int16
imageID,int64
randomDetID,float64
dvoRegionID,int32
obsTime,float64
xPos,float64
yPos,float64
xPosErr,float64
yPosErr,float64
pltScale,float64
posAngle,float64
ra,float64
dec,float64
raErr,float64
decErr,float64
extNSigma,float64
zp,float64
telluricExt,float64
expTime,float64
airMass,float64
psfFlux,float64
psfFluxErr,float64
psfMajorFWHM,float64
psfMinorFWHM,float64
psfTheta,float64
psfCore,float64
psfQf,float64
psfQfPerfect,float64
psfChiSq,float64
psfLikelihood,float64
momentXX,float64
momentXY,float64
momentYY,float64
momentR1,float64
momentRH,float64
momentM3C,float64
momentM3S,float64
momentM4C,float64
momentM4S,float64
apFlux,float64
apFluxErr,float64
apFillF,float64
apRadius,float64
kronFlux,float64
kronFluxErr,float64
kronRad,float64
sky,float64
skyErr,float64
infoFlag,int64
infoFlag2,int32
infoFlag3,int32
processingVersion,int16
