name,type
objNameHMS,str
objName,str
objAltName1,str
objAltName2,str
objAltName3,str
objPopularName,str
objID,int64
uniquePspsOBid,int64
ippObjID,int64
surveyID,int16
htmID,int64
zoneID,int32
tessID,int16
projectionID,int16
skyCellID,int16
randomID,float64
batchID,int64
dvoRegionID,int32
processingVersion,int16
objInfoFlag,int32
astrometryCorrectionFlag,int16
qualityFlag,int16
raStack,float64
decStack,float64
raStackErr,float64
decStackErr,float64
raMean,float64
decMean,float64
raMeanErr,float64
decMeanErr,float64
pmra,float64
pmdec,float64
pmraErr,float64
pmdecErr,float64
epochMean,float64
posMeanChisq,float64
cx,float64
cy,float64
cz,float64
lambda,float64
beta,float64
l,float64
b,float64
nStackObjectRows,int16
nStackDetections,int16
nDetections,int16
ng,int16
nr,int16
ni,int16
nz,int16
ny,int16
uniquePspsFOid,int64
FMippObjID,int64
randomForcedObjID,float64
FMnDetections,int16
FMbatchID,int64
FMprocessingVersion,int16
gnTotal,int16
gnIncPSFFlux,int16
gnIncKronFlux,int16
gnIncApFlux,int16
gnIncR5,int16
gnIncR6,int16
gnIncR7,int16
gFPSFFlux,float64
gFPSFFluxErr,float64
gFPSFFluxStd,float64
gFPSFMag,float64
gFPSFMagErr,float64
gFKronFlux,float64
gFKronFluxErr,float64
gFKronFluxStd,float64
gFKronMag,float64
gFKronMagErr,float64
gFApFlux,float64
gFApFluxErr,float64
gFApFluxStd,float64
gFApMag,float64
gFApMagErr,float64
gFmeanflxR5,float64
gFmeanflxR5Err,float64
gFmeanflxR5Std,float64
gFmeanflxR5Fill,float64
gFmeanMagR5,float64
gFmeanMagR5Err,float64
gFmeanflxR6,float64
gFmeanflxR6Err,float64
gFmeanflxR6Std,float64
gFmeanflxR6Fill,float64
gFmeanMagR6,float64
gFmeanMagR6Err,float64
gFmeanflxR7,float64
gFmeanflxR7Err,float64
gFmeanflxR7Std,float64
gFmeanflxR7Fill,float64
gFmeanMagR7,float64
gFmeanMagR7Err,float64
gFlags,int32
gE1,float64
gE2,float64
rnTotal,int16
rnIncPSFFlux,int16
rnIncKronFlux,int16
rnIncApFlux,int16
rnIncR5,int16
rnIncR6,int16
rnIncR7,int16
rFPSFFlux,float64
rFPSFFluxErr,float64
rFPSFFluxStd,float64
rFPSFMag,float64
rFPSFMagErr,float64
rFKronFlux,float64
rFKronFluxErr,float64
rFKronFluxStd,float64
rFKronMag,float64
rFKronMagErr,float64
rFApFlux,float64
rFApFluxErr,float64
rFApFluxStd,float64
rFApMag,float64
rFApMagErr,float64
rFmeanflxR5,float64
rFmeanflxR5Err,float64
rFmeanflxR5Std,float64
rFmeanflxR5Fill,float64
rFmeanMagR5,float64
rFmeanMagR5Err,float64
rFmeanflxR6,float64
rFmeanflxR6Err,float64
rFmeanflxR6Std,float64
rFmeanflxR6Fill,float64
rFmeanMagR6,float64
rFmeanMagR6Err,float64
rFmeanflxR7,float64
rFmeanflxR7Err,float64
rFmeanflxR7Std,float64
rFmeanflxR7Fill,float64
rFmeanMagR7,float64
rFmeanMagR7Err,float64
rFlags,int32
rE1,float64
rE2,float64
inTotal,int16
inIncPSFFlux,int16
inIncKronFlux,int16
inIncApFlux,int16
inIncR5,int16
inIncR6,int16
inIncR7,int16
iFPSFFlux,float64
iFPSFFluxErr,float64
iFPSFFluxStd,float64
iFPSFMag,float64
iFPSFMagErr,float64
iFKronFlux,float64
iFKronFluxErr,float64
iFKronFluxStd,float64
iFKronMag,float64
iFKronMagErr,float64
iFApFlux,float64
iFApFluxErr,float64
iFApFluxStd,float64
iFApMag,float64
iFApMagErr,float64
iFmeanflxR5,float64
iFmeanflxR5Err,float64
iFmeanflxR5Std,float64
iFmeanflxR5Fill,float64
iFmeanMagR5,float64
iFmeanMagR5Err,float64
iFmeanflxR6,float64
iFmeanflxR6Err,float64
iFmeanflxR6Std,float64
iFmeanflxR6Fill,float64
iFmeanMagR6,float64
iFmeanMagR6Err,float64
iFmeanflxR7,float64
iFmeanflxR7Err,float64
iFmeanflxR7Std,float64
iFmeanflxR7Fill,float64
iFmeanMagR7,float64
iFmeanMagR7Err,float64
iFlags,int32
iE1,float64
iE2,float64
znTotal,int16
znIncPSFFlux,int16
znIncKronFlux,int16
znIncApFlux,int16
znIncR5,int16
znIncR6,int16
znIncR7,int16
zFPSFFlux,float64
zFPSFFluxErr,float64
zFPSFFluxStd,float64
zFPSFMag,float64
zFPSFMagErr,float64
zFKronFlux,float64
zFKronFluxErr,float64
zFKronFluxStd,float64
zFKronMag,float64
zFKronMagErr,float64
zFApFlux,float64
zFApFluxErr,float64
zFApFluxStd,float64
zFApMag,float64
zFApMagErr,float64
zFmeanflxR5,float64
zFmeanflxR5Err,float64
zFmeanflxR5Std,float64
zFmeanflxR5Fill,float64
zFmeanMagR5,float64
zFmeanMagR5Err,float64
zFmeanflxR6,float64
zFmeanflxR6Err,float64
zFmeanflxR6Std,float64
zFmeanflxR6Fill,float64
zFmeanMagR6,float64
zFmeanMagR6Err,float64
zFmeanflxR7,float64
zFmeanflxR7Err,float64
zFmeanflxR7Std,float64
zFmeanflxR7Fill,float64
zFmeanMagR7,float64
zFmeanMagR7Err,float64
zFlags,int32
zE1,float64
zE2,float64
ynTotal,int16
ynIncPSFFlux,int16
ynIncKronFlux,int16
ynIncApFlux,int16
ynIncR5,int16
ynIncR6,int16
ynIncR7,int16
yFPSFFlux,float64
yFPSFFluxErr,float64
yFPSFFluxStd,float64
yFPSFMag,float64
yFPSFMagErr,float64
yFKronFlux,float64
yFKronFluxErr,float64
yFKronFluxStd,float64
yFKronMag,float64
yFKronMagErr,float64
yFApFlux,float64
yFApFluxErr,float64
yFApFluxStd,float64
yFApMag,float64
yFApMagErr,float64
yFmeanflxR5,float64
yFmeanflxR5Err,float64
yFmeanflxR5Std,float64
yFmeanflxR5Fill,float64
yFmeanMagR5,float64
yFmeanMagR5Err,float64
yFmeanflxR6,float64
yFmeanflxR6Err,float64
yFmeanflxR6Std,float64
yFmeanflxR6Fill,float64
yFmeanMagR6,float64
yFmeanMagR6Err,float64
yFmeanflxR7,float64
yFmeanflxR7Err,float64
yFmeanflxR7Std,float64
yFmeanflxR7Fill,float64
yFmeanMagR7,float64
yFmeanMagR7Err,float64
yFlags,int32
yE1,float64
yE2,float64
