name,type
objName,str
objNameHMS,str
objAltName1,str
objAltName2,str
objAltName3,str
objPopularName,str
objID,int64
uniquePspsOBid,int64
ippObjID,int64
surveyID,int16
htmID,int64
zoneID,int32
tessID,int16
projectionID,int16
skyCellID,int16
randomID,float64
batchID,int64
dvoRegionID,int32
processingVersion,int16
objInfoFlag,int32
astrometryCorrectionFlag,Int32
qualityFlag,int16
raStack,float64
decStack,float64
raStackErr,float64
decStackErr,float64
raMean,float64
decMean,float64
raMeanErr,float64
decMeanErr,float64
pmra,float64
pmdec,float64
pmraErr,float64
pmdecErr,float64
epochMean,float64
posMeanChisq,float64
cx,float64
cy,float64
cz,float64
lambda,float64
beta,float64
l,float64
b,float64
nStackObjectRows,int16
nStackDetections,int16
nDetections,int16
ng,int16
nr,int16
ni,int16
nz,int16
ny,int16
gQfPerfect,float64
gMeanPSFMag,float64
gMeanPSFMagErr,float64
gMeanPSFMagStd,float64
gMeanPSFMagNpt,int16
gMeanPSFMagMin,float64
gMeanPSFMagMax,float64
gMeanKronMag,float64
gMeanKronMagErr,float64
gMeanKronMagStd,float64
gMeanKronMagNpt,int16
gMeanApMag,float64
gMeanApMagErr,float64
gMeanApMagStd,float64
gMeanApMagNpt,int16
gFlags,int32
rQfPerfect,float64
rMeanPSFMag,float64
rMeanPSFMagErr,float64
rMeanPSFMagStd,float64
rMeanPSFMagNpt,int16
rMeanPSFMagMin,float64
rMeanPSFMagMax,float64
rMeanKronMag,float64
rMeanKronMagErr,float64
rMeanKronMagStd,float64
rMeanKronMagNpt,int16
rMeanApMag,float64
rMeanApMagErr,float64
rMeanApMagStd,float64
rMeanApMagNpt,int16
rFlags,int32
iQfPerfect,float64
iMeanPSFMag,float64
iMeanPSFMagErr,float64
iMeanPSFMagStd,float64
iMeanPSFMagNpt,int16
iMeanPSFMagMin,float64
iMeanPSFMagMax,float64
iMeanKronMag,float64
iMeanKronMagErr,float64
iMeanKronMagStd,float64
iMeanKronMagNpt,int16
iMeanApMag,float64
iMeanApMagErr,float64
iMeanApMagStd,float64
iMeanApMagNpt,int16
iFlags,int32
zQfPerfect,float64
zMeanPSFMag,float64
zMeanPSFMagErr,float64
zMeanPSFMagStd,float64
zMeanPSFMagNpt,int16
zMeanPSFMagMin,float64
zMeanPSFMagMax,float64
zMeanKronMag,float64
zMeanKronMagErr,float64
zMeanKronMagStd,float64
zMeanKronMagNpt,int16
zMeanApMag,float64
zMeanApMagErr,float64
zMeanApMagStd,float64
zMeanApMagNpt,int16
zFlags,int32
yQfPerfect,float64
yMeanPSFMag,float64
yMeanPSFMagErr,float64
yMeanPSFMagStd,float64
yMeanPSFMagNpt,int16
yMeanPSFMagMin,float64
yMeanPSFMagMax,float64
yMeanKronMag,float64
yMeanKronMagErr,float64
yMeanKronMagStd,float64
yMeanKronMagNpt,int16
yMeanApMag,float64
yMeanApMagErr,float64
yMeanApMagStd,float64
yMeanApMagNpt,int16
yFlags,int32
