name,type
objName,str
objNameHMS,str
objAltName1,str
objAltName2,str
objAltName3,str
objPopularName,str
objID,int64
uniquePspsOBid,int64
ippObjID,int64
surveyID,int16
htmID,int64
zoneID,int32
tessID,int16
projectionID,int16
skyCellID,int16
randomID,float64
batchID,int64
dvoRegionID,int32
processingVersion,int16
objInfoFlag,int32
astrometryCorrectionFlag,int16
qualityFlag,int16
raStack,float64
decStack,float64
raStackErr,float64
decStackErr,float64
raMean,float64
decMean,float64
raMeanErr,float64
decMeanErr,float64
pmra,float64
pmdec,float64
pmraErr,float64
pmdecErr,float64
epochMean,float64
posMeanChisq,float64
cx,float64
cy,float64
cz,float64
lambda,float64
beta,float64
l,float64
b,float64
nStackObjectRows,int16
nStackDetections,int16
nDetections,int16
ng,int16
nr,int16
ni,int16
nz,int16
ny,int16
uniquePspsSTid,int64
primaryDetection,int16
bestDetection,int16
gippDetectID,int64
gstackDetectID,int64
gstackImageID,int64
gra,float64
gdec,float64
graErr,float64
gdecErr,float64
gEpoch,float64
gPSFMag,float64
gPSFMagErr,float64
gApMag,float64
gApMagErr,float64
gKronMag,float64
gKronMagErr,float64
ginfoFlag,int64
ginfoFlag2,int32
ginfoFlag3,int32
gnFrames,int32
gxPos,float64
gyPos,float64
gxPosErr,float64
gyPosErr,float64
gpsfMajorFWHM,float64
gpsfMinorFWHM,float64
gpsfTheta,float64
gpsfCore,float64
gpsfLikelihood,float64
gpsfQf,float64
gpsfQfPerfect,float64
gpsfChiSq,float64
gmomentXX,float64
gmomentXY,float64
gmomentYY,float64
gmomentR1,float64
gmomentRH,float64
gPSFFlux,float64
gPSFFluxErr,float64
gApFlux,float64
gApFluxErr,float64
gApFillFac,float64
gApRadius,float64
gKronFlux,float64
gKronFluxErr,float64
gKronRad,float64
gexpTime,float64
gExtNSigma,float64
gsky,float64
gskyErr,float64
gzp,float64
gPlateScale,float64
rippDetectID,int64
rstackDetectID,int64
rstackImageID,int64
rra,float64
rdec,float64
rraErr,float64
rdecErr,float64
rEpoch,float64
rPSFMag,float64
rPSFMagErr,float64
rApMag,float64
rApMagErr,float64
rKronMag,float64
rKronMagErr,float64
rinfoFlag,int64
rinfoFlag2,int32
rinfoFlag3,int32
rnFrames,int32
rxPos,float64
ryPos,float64
rxPosErr,float64
ryPosErr,float64
rpsfMajorFWHM,float64
rpsfMinorFWHM,float64
rpsfTheta,float64
rpsfCore,float64
rpsfLikelihood,float64
rpsfQf,float64
rpsfQfPerfect,float64
rpsfChiSq,float64
rmomentXX,float64
rmomentXY,float64
rmomentYY,float64
rmomentR1,float64
rmomentRH,float64
rPSFFlux,float64
rPSFFluxErr,float64
rApFlux,float64
rApFluxErr,float64
rApFillFac,float64
rApRadius,float64
rKronFlux,float64
rKronFluxErr,float64
rKronRad,float64
rexpTime,float64
rExtNSigma,float64
rsky,float64
rskyErr,float64
rzp,float64
rPlateScale,float64
iippDetectID,int64
istackDetectID,int64
istackImageID,int64
ira,float64
idec,float64
iraErr,float64
idecErr,float64
iEpoch,float64
iPSFMag,float64
iPSFMagErr,float64
iApMag,float64
iApMagErr,float64
iKronMag,float64
iKronMagErr,float64
iinfoFlag,int64
iinfoFlag2,int32
iinfoFlag3,int32
inFrames,int32
ixPos,float64
iyPos,float64
ixPosErr,float64
iyPosErr,float64
ipsfMajorFWHM,float64
ipsfMinorFWHM,float64
ipsfTheta,float64
ipsfCore,float64
ipsfLikelihood,float64
ipsfQf,float64
ipsfQfPerfect,float64
ipsfChiSq,float64
imomentXX,float64
imomentXY,float64
imomentYY,float64
imomentR1,float64
imomentRH,float64
iPSFFlux,float64
iPSFFluxErr,float64
iApFlux,float64
iApFluxErr,float64
iApFillFac,float64
iApRadius,float64
iKronFlux,float64
iKronFluxErr,float64
iKronRad,float64
iexpTime,float64
iExtNSigma,float64
isky,float64
iskyErr,float64
izp,float64
iPlateScale,float64
zippDetectID,int64
zstackDetectID,int64
zstackImageID,int64
zra,float64
zdec,float64
zraErr,float64
zdecErr,float64
zEpoch,float64
zPSFMag,float64
zPSFMagErr,float64
zApMag,float64
zApMagErr,float64
zKronMag,float64
zKronMagErr,float64
zinfoFlag,int64
zinfoFlag2,int32
zinfoFlag3,int32
znFrames,int32
zxPos,float64
zyPos,float64
zxPosErr,float64
zyPosErr,float64
zpsfMajorFWHM,float64
zpsfMinorFWHM,float64
zpsfTheta,float64
zpsfCore,float64
zpsfLikelihood,float64
zpsfQf,float64
zpsfQfPerfect,float64
zpsfChiSq,float64
zmomentXX,float64
zmomentXY,float64
zmomentYY,float64
zmomentR1,float64
zmomentRH,float64
zPSFFlux,float64
zPSFFluxErr,float64
zApFlux,float64
zApFluxErr,float64
zApFillFac,float64
zApRadius,float64
zKronFlux,float64
zKronFluxErr,float64
zKronRad,float64
zexpTime,float64
zExtNSigma,float64
zsky,float64
zskyErr,float64
zzp,float64
zPlateScale,float64
yippDetectID,int64
ystackDetectID,int64
ystackImageID,int64
yra,float64
ydec,float64
yraErr,float64
ydecErr,float64
yEpoch,float64
yPSFMag,float64
yPSFMagErr,float64
yApMag,float64
yApMagErr,float64
yKronMag,float64
yKronMagErr,float64
yinfoFlag,int64
yinfoFlag2,int32
yinfoFlag3,int32
ynFrames,int32
yxPos,float64
yyPos,float64
yxPosErr,float64
yyPosErr,float64
ypsfMajorFWHM,float64
ypsfMinorFWHM,float64
ypsfTheta,float64
ypsfCore,float64
ypsfLikelihood,float64
ypsfQf,float64
ypsfQfPerfect,float64
ypsfChiSq,float64
ymomentXX,float64
ymomentXY,float64
ymomentYY,float64
ymomentR1,float64
ymomentRH,float64
yPSFFlux,float64
yPSFFluxErr,float64
yApFlux,float64
yApFluxErr,float64
yApFillFac,float64
yApRadius,float64
yKronFlux,float64
yKronFluxErr,float64
yKronRad,float64
yexpTime,float64
yExtNSigma,float64
ysky,float64
yskyErr,float64
yzp,float64
yPlateScale,float64
