name,type
ID,Int64
version,str
HIP,Int32
TYC,str
UCAC,str
TWOMASS,str
SDSS,Int64
ALLWISE,str
GAIA,str
APASS,str
KIC,Int32
objType,str
typeSrc,str
ra,float64
dec,float64
POSflag,str
pmRA,float64
e_pmRA,float64
pmDEC,float64
e_pmDEC,float64
PMflag,str
plx,float64
e_plx,float64
PARflag,str
gallong,float64
gallat,float64
eclong,float64
eclat,float64
Bmag,float64
e_Bmag,float64
Vmag,float64
e_Vmag,float64
umag,float64
e_umag,float64
gmag,float64
e_gmag,float64
rmag,float64
e_rmag,float64
imag,float64
e_imag,float64
zmag,float64
e_zmag,float64
Jmag,float64
e_Jmag,float64
Hmag,float64
e_Hmag,float64
Kmag,float64
e_Kmag,float64
TWOMflag,str
prox,float64
w1mag,float64
e_w1mag,float64
w2mag,float64
e_w2mag,float64
w3mag,float64
e_w3mag,float64
w4mag,float64
e_w4mag,float64
GAIAmag,float64
e_GAIAmag,float64
Tmag,float64
e_Tmag,float64
TESSflag,str
SPFlag,str
Teff,float64
e_Teff,float64
logg,float64
e_logg,float64
MH,float64
e_MH,float64
rad,float64
e_rad,float64
mass,float64
e_mass,float64
rho,float64
e_rho,float64
lumclass,str
lum,float64
e_lum,float64
d,float64
e_d,float64
ebv,float64
e_ebv,float64
numcont,Int32
contratio,float64
disposition,str
duplicate_id,Int64
priority,float64
eneg_EBV,float64
epos_EBV,float64
EBVflag,str
eneg_Mass,float64
epos_Mass,float64
eneg_Rad,float64
epos_Rad,float64
eneg_rho,float64
epos_rho,float64
eneg_logg,float64
epos_logg,float64
eneg_lum,float64
epos_lum,float64
eneg_dist,float64
epos_dist,float64
distflag,str
eneg_Teff,float64
epos_Teff,float64
TeffFlag,str
gaiabp,float64
e_gaiabp,float64
gaiarp,float64
e_gaiarp,float64
gaiaqflag,Int32
starchareFlag,str
VmagFlag,str
BmagFlag,str
splists,str
e_RA,float64
e_Dec,float64
RA_orig,float64
Dec_orig,float64
e_RA_orig,float64
e_Dec_orig,float64
raddflag,Int32
wdflag,Int32
objID,Int64
